run,planner,success_rate,plan_0/success_rate,plan_0/mean_state_dist,plan_0/mean_visual_dist,plan_0/mean_proprio_dist,plan_0/mean_div_visual_emb,plan_0/mean_div_proprio_emb,step,mean_state_dist,mean_visual_dist,mean_proprio_dist,mean_div_visual_emb,mean_div_proprio_emb
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.16,1.4128888529294072,0.5665326052295918,0.5747033357620239,494.5871276855469,11.671438217163086,1,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.06,1.299103922103371,0.5638594812925171,0.5291207432746887,502.62579345703125,11.987744331359863,2,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.0,1.2799833947741928,0.5839910182823129,0.518971860408783,405.727783203125,9.894810676574707,3,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.04,1.1868814961908754,0.5829943930697279,0.49601951241493225,408.701904296875,9.427995681762695,4,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.04,1.243144832772348,0.5900483630952381,0.5103330016136169,376.8822326660156,10.336174964904785,5,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.08,1.2182556601359382,0.5816691911139455,0.505440354347229,378.2397766113281,10.208468437194824,6,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.14,1.088888463677665,0.5783702699829932,0.4531766474246979,377.6085510253906,9.339624404907227,7,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.18,1.0846984465265805,0.5741038212159864,0.44894883036613464,332.1540832519531,9.105369567871094,8,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.16,1.0392555417065483,0.5754481558248299,0.4320736825466156,350.5089111328125,8.8800630569458,9,,,,,
pointmaze_full_nodecoder_t4_fp16_b32_stride2_seed0,cem,,0.26,1.0184407935264135,0.5659134513180272,0.4262863099575043,334.4662170410156,9.100231170654297,10,,,,,
